,sw2800.pdb,sw1100.pdb,sw0900.pdb,sw2600.pdb,sw2000.pdb,sw3100.pdb,sw0200.pdb,sw2200.pdb,sw1200.pdb,sw3400.pdb,sw0500.pdb,sw3500.pdb,sw2700.pdb,sw0700.pdb,sw2900.pdb,sw2500.pdb,sw0400.pdb,sw0100.pdb,sw0600.pdb,sw0300.pdb,sw1500.pdb,sw2300.pdb,sw2400.pdb,sw3200.pdb,sw1900.pdb,sw1300.pdb,sw3300.pdb,sw1700.pdb,sw3000.pdb,sw1000.pdb,sw1400.pdb,sw1600.pdb,sw1800.pdb,sw3600.pdb,sw2100.pdb,sw0000.pdb,sw0800.pdb
sw2800.pdb,0.0,6.483253479003906,31.468870162963867,5.303243160247803,7.5116119384765625,4.8671555519104,4.824760913848877,32.87799072265625,3.5925660133361816,6.973332405090332,2.941986560821533,7.313904285430908,7.495558738708496,2.6935317516326904,7.3879828453063965,25.032711029052734,7.257246494293213,7.288358211517334,32.061744689941406,4.7824907302856445,7.887962818145752,7.7425642013549805,7.511497497558594,2.647934913635254,7.603070259094238,7.7688140869140625,7.760308265686035,7.678125381469727,2.4906463623046875,6.857660293579102,12.786608695983887,5.854971885681152,31.956321716308594,24.97370147705078,7.647526741027832,7.446203231811523,6.286556720733643
sw1100.pdb,6.483253479003906,0.0,34.27619171142578,3.334599256515503,6.452786445617676,6.047585487365723,3.6773526668548584,34.98984909057617,7.533843040466309,7.339402198791504,5.976329326629639,6.925167560577393,7.585970401763916,6.255734443664551,6.322004795074463,26.889785766601562,7.508937835693359,7.870446681976318,33.73451614379883,4.41215705871582,7.109340190887451,3.9671926498413086,6.3332695960998535,6.121805191040039,7.2669997215271,7.43044900894165,6.832413196563721,7.123757839202881,6.236881256103516,7.360423564910889,16.171310424804688,3.1785402297973633,34.50364303588867,26.87687110900879,7.434118747711182,7.727120399475098,7.907407283782959
sw0900.pdb,31.468870162963867,34.27619171142578,0.0,34.185367584228516,33.214317321777344,30.692190170288086,32.39003372192383,13.205577850341797,32.66389083862305,33.757568359375,31.313262939453125,32.319252014160156,34.62032699584961,30.594404220581055,32.642574310302734,19.280363082885742,32.85215759277344,31.726871490478516,7.457435607910156,32.190406799316406,31.57317352294922,35.5942268371582,33.282196044921875,32.45466613769531,32.524532318115234,32.62644577026367,34.091426849365234,31.147598266601562,31.276975631713867,34.19446563720703,28.209869384765625,34.48286437988281,3.834359645843506,20.096996307373047,30.297014236450195,31.764957427978516,34.12411880493164
sw2600.pdb,5.303243160247803,3.334599256515503,34.185367584228516,0.0,7.1930766105651855,5.7806854248046875,4.205443859100342,35.276878356933594,6.6863627433776855,7.005032539367676,5.7926836013793945,7.323678493499756,7.5897979736328125,5.363553047180176,6.619516372680664,27.451805114746094,8.164268493652344,7.748803615570068,33.965267181396484,3.9338462352752686,7.611060619354248,4.59279203414917,6.790162086486816,5.028793811798096,7.918530464172363,7.8177809715271,7.217477798461914,7.51591157913208,5.34454345703125,7.856125354766846,15.401566505432129,2.3327038288116455,34.642906188964844,27.486629486083984,7.9996209144592285,8.130213737487793,7.532716751098633
sw2000.pdb,7.5116119384765625,6.452786445617676,33.214317321777344,7.1930766105651855,0.0,7.193296432495117,7.805611610412598,33.66239547729492,7.183328151702881,5.28131103515625,7.283697128295898,2.224679470062256,4.5794172286987305,7.944429874420166,3.0174145698547363,26.701637268066406,4.879731178283691,5.25530481338501,32.42743682861328,7.368459224700928,4.037874698638916,4.822853088378906,2.5983128547668457,7.599964618682861,2.6224944591522217,4.56387996673584,3.648357391357422,4.1366143226623535,7.4250617027282715,5.5236921310424805,14.327564239501953,6.712939262390137,33.576438903808594,26.65530776977539,6.0409111976623535,5.463084697723389,5.44985818862915
sw3100.pdb,4.8671555519104,6.047585487365723,30.692190170288086,5.7806854248046875,7.193296432495117,0.0,4.355431079864502,32.00168991088867,6.681400299072266,7.783170700073242,3.930677652359009,7.305161476135254,7.306645393371582,3.5148215293884277,7.639156818389893,23.482370376586914,7.438497543334961,7.195304870605469,30.779006958007812,3.201655149459839,6.94207763671875,7.0571699142456055,7.082019329071045,6.510431289672852,7.830709457397461,6.9094648361206055,7.267709732055664,7.157059192657471,3.7696902751922607,7.55988073348999,15.327301025390625,5.7635369300842285,30.94335174560547,23.59462547302246,7.780351638793945,7.705944061279297,7.278232574462891
sw0200.pdb,4.824760913848877,3.6773526668548584,32.39003372192383,4.205443859100342,7.805611610412598,4.355431079864502,0.0,33.78662872314453,6.374973297119141,7.547074794769287,3.8375816345214844,8.027759552001953,8.073132514953613,3.9972033500671387,8.120241165161133,25.005903244018555,7.256921768188477,7.689082622528076,32.49374008178711,3.211920976638794,7.78147554397583,6.514871597290039,7.865434169769287,5.150146007537842,8.07756233215332,7.754504680633545,7.864412784576416,7.83082914352417,4.591723918914795,7.114725112915039,15.683767318725586,4.61886739730835,32.63329315185547,24.951576232910156,7.231943130493164,7.418071269989014,7.625383377075195
sw2200.pdb,32.87799072265625,34.98984909057617,13.205577850341797,35.276878356933594,33.66239547729492,32.00168991088867,33.78662872314453,0.0,33.779571533203125,34.9952507019043,32.34451675415039,32.90913391113281,35.57713317871094,32.199310302734375,32.69878387451172,18.252592086791992,34.2089958190918,33.52680969238281,11.99475383758545,33.46661376953125,32.55854415893555,35.716163635253906,33.6070442199707,33.9076042175293,33.584747314453125,33.771671295166016,34.76045227050781,32.03356170654297,32.53205108642578,35.45090866088867,28.136474609375,35.18749237060547,11.922246932983398,18.90675163269043,32.132850646972656,33.613704681396484,35.52704620361328
sw1200.pdb,3.5925660133361816,7.533843040466309,32.66389083862305,6.6863627433776855,7.183328151702881,6.681400299072266,6.374973297119141,33.779571533203125,0.0,5.872306823730469,4.761106491088867,7.281808853149414,7.142941951751709,5.519223690032959,7.544023036956787,26.4692325592041,6.696416854858398,6.857466697692871,33.237091064453125,7.061298847198486,7.761582374572754,7.833003997802734,7.519003391265869,3.2923073768615723,6.712975978851318,7.42893123626709,7.038419246673584,7.633353233337402,3.804440498352051,5.523406028747559,11.918354034423828,7.424694061279297,33.095184326171875,26.20278549194336,7.823562145233154,7.304157257080078,5.317309379577637
sw3400.pdb,6.973332405090332,7.339402198791504,33.757568359375,7.005032539367676,5.28131103515625,7.783170700073242,7.547074794769287,34.9952507019043,5.872306823730469,0.0,7.720405578613281,4.563050746917725,3.7147605419158936,7.482324600219727,6.079440116882324,26.76582908630371,3.5772838592529297,2.887913942337036,33.488616943359375,7.764642715454102,4.396542072296143,6.840538024902344,5.317659378051758,6.507907867431641,4.561074256896973,3.306644916534424,3.723710298538208,4.463017463684082,7.316145420074463,3.4405269622802734,14.896101951599121,7.289201259613037,34.150108337402344,26.509798049926758,5.026580333709717,3.9755959510803223,3.1368660926818848
