TIME,RMSD
1,2.653928756713867
2,3.6429922580718994
3,3.930800676345825
4,4.33984899520874
5,4.5155463218688965
6,4.925296306610107
7,5.357456684112549
8,4.727765083312988
9,4.565298557281494
10,4.9213690757751465
11,5.057834625244141
12,4.815463542938232
13,4.941802501678467
14,5.576091766357422
15,5.726396083831787
16,6.011934757232666
17,6.088693141937256
18,6.042299270629883
19,5.9240922927856445
20,5.7830986976623535
21,5.870112419128418
22,5.933600902557373
23,5.792876243591309
24,5.5924787521362305
25,5.8705549240112305
26,6.094033241271973
27,6.7176008224487305
28,6.502227783203125
29,6.5420660972595215
30,6.866961479187012
31,6.575607776641846
32,6.397982120513916
33,6.440659523010254
34,6.568428993225098
35,6.945512294769287
36,6.770359516143799
37,6.744898319244385
38,6.5856614112854
39,6.988525867462158
40,7.712721824645996
41,7.982244491577148
42,7.602200508117676
43,7.444562911987305
44,7.688297748565674
45,7.997237682342529
46,8.774849891662598
47,9.135407447814941
48,9.284801483154297
49,8.792237281799316
50,8.4332275390625
51,8.409034729003906
52,8.55164623260498
53,8.616065979003906
54,8.550433158874512
55,8.80388069152832
56,9.182862281799316
57,9.88643741607666
58,10.22950553894043
59,9.84158706665039
60,10.110645294189453
61,9.94880199432373
62,9.451539039611816
63,8.708799362182617
64,9.43004322052002
65,9.908595085144043
66,10.24970817565918
67,11.20479965209961
68,11.390395164489746
69,11.038651466369629
70,10.434684753417969
71,10.308743476867676
72,10.486387252807617
73,10.486019134521484
74,11.065046310424805
75,10.151983261108398
76,9.065662384033203
77,9.584272384643555
78,9.284826278686523
79,9.693591117858887
80,9.222526550292969
81,9.359997749328613
82,9.11577033996582
83,9.354472160339355
84,9.330531120300293
85,9.5365629196167
86,9.51724910736084
87,10.022732734680176
88,9.59448528289795
89,9.801836013793945
90,10.546830177307129
91,10.430546760559082
92,10.537376403808594
93,10.83206844329834
94,11.09602165222168
95,10.566957473754883
96,10.967340469360352
97,11.453225135803223
98,11.53503131866455
99,11.50162124633789
100,11.820639610290527
101,11.885478019714355
102,11.810437202453613
103,12.101091384887695
104,11.820347785949707
105,11.77634048461914
106,11.6558256149292
107,11.596521377563477
108,11.40034294128418
109,10.906774520874023
110,10.984611511230469
111,11.087751388549805
112,11.477904319763184
113,11.377897262573242
114,11.419698715209961
115,11.491769790649414
116,11.40746021270752
117,11.69742202758789
118,11.69718074798584
119,11.56093978881836
120,11.695761680603027
121,11.421360969543457
122,11.156684875488281
123,11.756336212158203
124,12.145553588867188
125,12.094975471496582
126,12.111603736877441
127,12.515125274658203
128,12.240804672241211
129,12.224992752075195
130,11.580377578735352
131,11.601516723632813
132,11.712032318115234
133,11.602387428283691
134,11.413496017456055
135,11.03829574584961
136,10.796622276306152
137,11.110607147216797
138,10.639589309692383
139,10.782180786132813
140,10.718955993652344
141,10.521622657775879
142,11.442583084106445
143,11.568337440490723
144,11.804818153381348
145,11.6323823928833
146,10.89099407196045
147,10.64942741394043
148,11.25360107421875
149,11.474453926086426
150,11.506972312927246
151,11.19941520690918
152,11.063803672790527
153,10.936504364013672
154,11.140973091125488
155,11.078241348266602
156,11.077609062194824
157,10.732377052307129
158,10.965219497680664
159,11.77486515045166
160,11.586404800415039
161,11.683082580566406
162,11.792438507080078
163,11.912538528442383
164,11.97335433959961
165,11.933626174926758
166,11.695841789245605
167,11.892775535583496
168,11.458355903625488
169,11.521027565002441
170,11.157422065734863
171,11.014541625976563
172,10.971548080444336
173,11.297521591186523
174,11.475593566894531
175,11.273842811584473
176,10.957250595092773
177,10.821821212768555
178,10.818140983581543
179,10.643610954284668
180,10.461487770080566
181,11.02471923828125
182,10.752644538879395
183,11.099245071411133
184,10.814508438110352
185,10.43067741394043
186,10.928962707519531
187,11.264464378356934
188,11.068641662597656
189,10.85391902923584
190,10.739474296569824
191,10.56702995300293
192,10.8004150390625
193,10.968274116516113
194,10.776537895202637
195,10.652932167053223
196,10.823538780212402
197,11.132115364074707
198,11.197449684143066
199,10.839550018310547
200,10.83954906463623
