,ad8.pdb,ad30.pdb,ad42.pdb,ad24.pdb,ad35.pdb,ad18.pdb,ad48.pdb,ad34.pdb,ad13.pdb,ad20.pdb,ad6.pdb,ad27.pdb,ad44.pdb,ad32.pdb,ad9.pdb,ad1.pdb,ad31.pdb,ad33.pdb,ad10.pdb,ad2.pdb,ad38.pdb,ad49.pdb,ad43.pdb,ad47.pdb,ad17.pdb,ad23.pdb,ad26.pdb,ad3.pdb,ad46.pdb,ad11.pdb,ad36.pdb,ad37.pdb,ad25.pdb,ad39.pdb,ad15.pdb,ad14.pdb,ad7.pdb,ad40.pdb,ad4.pdb,ad21.pdb,ad41.pdb,ad0.pdb,ad45.pdb,ad19.pdb,ad5.pdb,ad28.pdb,ad12.pdb,ad22.pdb,ad29.pdb,ad16.pdb
ad8.pdb,0.0,36.269630432128906,30.986753463745117,5.1352081298828125,33.35371780395508,5.1165690422058105,31.55484390258789,14.196938514709473,12.040151596069336,35.89202117919922,5.004965782165527,5.0116071701049805,36.333335876464844,12.300901412963867,33.11506652832031,4.984942436218262,11.514174461364746,34.63899230957031,13.521605491638184,30.246051788330078,6.529594898223877,36.05426025390625,6.023444652557373,14.454949378967285,32.71194839477539,6.3933844566345215,33.20905303955078,36.5706901550293,34.88543701171875,5.772548198699951,28.83481216430664,30.238548278808594,36.1780891418457,33.40705108642578,33.57828140258789,14.582754135131836,5.619305610656738,32.07572555541992,31.731815338134766,12.476819038391113,28.077852249145508,6.516172885894775,14.4042329788208,6.381597995758057,36.19111251831055,13.290725708007812,6.480883598327637,30.88331413269043,36.25670623779297,6.072386264801025
ad30.pdb,36.269630432128906,0.0,28.83657455444336,35.12409210205078,5.860072612762451,34.9102668762207,10.707307815551758,40.56273651123047,32.1075325012207,3.426401376724243,35.20072937011719,35.585750579833984,0.7446039915084839,32.02047348022461,11.577953338623047,35.170894622802734,40.6771354675293,32.724971771240234,40.590797424316406,42.38447952270508,33.39124298095703,0.7022489309310913,33.79077911376953,40.46760177612305,7.632143974304199,33.366851806640625,11.734894752502441,2.9137110710144043,4.054360866546631,34.43230056762695,31.95594596862793,42.28025817871094,1.640462040901184,5.868150234222412,6.091710567474365,40.61137771606445,35.90813064575195,30.464994430541992,10.656294822692871,32.234947204589844,46.36594772338867,33.27643966674805,40.62928771972656,33.425296783447266,0.7903215289115906,40.72914123535156,33.41981506347656,28.887025833129883,0.26290977001190186,33.68536376953125
ad42.pdb,30.986753463745117,28.83657455444336,0.0,30.01560401916504,25.878108978271484,30.612964630126953,25.03651237487793,31.493362426757812,27.143503189086914,28.917348861694336,30.14292335510254,31.520402908325195,28.647357940673828,27.122634887695312,33.09974670410156,30.018596649169922,33.69401931762695,9.52541446685791,33.39040756225586,30.93730354309082,30.2705078125,28.49302864074707,30.21971893310547,31.388458251953125,26.339073181152344,30.186290740966797,33.1069221496582,29.38494300842285,28.099462509155273,30.07558250427246,5.602954387664795,31.148815155029297,27.74083137512207,25.8729190826416,25.90137481689453,31.440261840820312,29.713560104370117,28.772968292236328,24.93914794921875,27.148822784423828,28.485843658447266,30.094499588012695,31.50977897644043,30.245153427124023,28.754499435424805,33.52406311035156,30.098146438598633,0.3384532630443573,28.784011840820312,30.19588851928711
ad24.pdb,5.1352081298828125,35.12409210205078,30.01560401916504,0.0,32.0238037109375,1.4281272888183594,30.77747917175293,12.714552879333496,12.23189640045166,34.63675308227539,0.21694663166999817,1.9473549127578735,35.2296142578125,12.411199569702148,32.23539733886719,0.43669867515563965,11.37382984161377,32.97469711303711,12.56718921661377,28.438791275024414,3.8578174114227295,34.942867279052734,3.566713809967041,12.9811372756958,31.48353385925293,4.082620143890381,32.23698425292969,35.40924835205078,33.58684539794922,2.3546838760375977,27.7883243560791,28.40043830871582,35.06974792480469,32.136409759521484,32.339935302734375,13.119461059570312,4.328568458557129,29.829532623291016,30.94277572631836,12.663800239562988,26.72240447998047,4.170872211456299,12.93639850616455,3.950746774673462,35.0678825378418,12.427099227905273,3.539194107055664,29.919998168945312,35.12610626220703,3.718292713165283
ad35.pdb,33.35371780395508,5.860072612762451,25.878108978271484,32.0238037109375,0.0,31.895376205444336,12.237667083740234,36.71107864379883,30.037961959838867,4.292807579040527,32.10774230957031,32.587528228759766,5.893500328063965,29.915142059326172,14.72087287902832,32.06881332397461,36.89455795288086,29.317636489868164,36.70818328857422,37.6919059753418,30.309844970703125,5.701494216918945,30.783527374267578,36.58238220214844,3.1040701866149902,30.3349609375,14.749629020690918,5.40983772277832,2.9692561626434326,31.245698928833008,28.541906356811523,37.58324432373047,5.4540863037109375,0.912423312664032,1.8800076246261597,36.71342849731445,33.00587844848633,25.968769073486328,12.12156867980957,30.151981353759766,41.830326080322266,30.232860565185547,36.75292205810547,30.381425857543945,5.866514682769775,36.86201095581055,30.3335018157959,25.922101974487305,5.847353458404541,30.656049728393555
ad18.pdb,5.1165690422058105,34.9102668762207,30.612964630126953,1.4281272888183594,31.895376205444336,0.0,30.49591064453125,13.557233810424805,11.810138702392578,34.41558837890625,1.3379945755004883,1.426998257637024,35.018009185791016,11.984925270080566,31.72452735900879,1.458876132965088,12.113780975341797,33.713897705078125,13.386527061462402,29.298931121826172,3.237659454345703,34.735191345214844,2.967531204223633,13.832228660583496,31.357250213623047,3.4323086738586426,31.738380432128906,35.15873718261719,33.391849517822266,2.164970874786377,28.482666015625,29.266090393066406,34.87854766845703,32.00048828125,32.216949462890625,13.977688789367676,4.675040245056152,30.364456176757812,30.661819458007812,12.245967864990234,27.791593551635742,3.577690362930298,13.78773307800293,3.2370011806488037,34.86257553100586,13.23830509185791,3.0458312034606934,30.514936447143555,34.913177490234375,3.1254215240478516
ad48.pdb,31.55484390258789,10.707307815551758,25.03651237487793,30.77747917175293,12.237667083740234,30.49591064453125,0.0,38.02190017700195,24.805795669555664,11.444332122802734,30.83913230895996,31.312654495239258,10.59662914276123,24.6098575592041,9.140488624572754,30.795326232910156,38.28727340698242,30.77522850036621,38.513771057128906,43.361778259277344,29.218116760253906,10.53236198425293,29.568178176879883,38.03005599975586,13.994007110595703,29.26375961303711,9.150609970092773,11.375263214111328,11.72849178314209,30.235450744628906,27.90454864501953,43.35558319091797,10.462224006652832,12.354619026184082,12.590569496154785,38.19232177734375,31.081249237060547,34.191551208496094,0.6712008118629456,24.7424373626709,44.92510986328125,29.220338821411133,38.151206970214844,29.32716941833496,10.7203369140625,38.59877395629883,29.25120735168457,25.043668746948242,10.672012329101562,29.505847930908203
ad34.pdb,14.196938514709473,40.56273651123047,31.493362426757812,12.714552879333496,36.71107864379883,13.557233810424805,38.02190017700195,0.0,23.12085723876953,40.060630798339844,12.809462547302246,13.44875431060791,40.73286056518555,23.386154174804688,40.16250991821289,12.777671813964844,6.454530715942383,31.472003936767578,4.577164649963379,19.77720069885254,14.396454811096191,40.41682052612305,13.982809066772461,0.5658676624298096,35.81039047241211,14.154007911682129,40.211143493652344,40.87651443481445,38.84455108642578,13.008829116821289,28.936084747314453,19.722042083740234,40.42189407348633,36.80255889892578,36.948184967041016,0.7084804177284241,12.24712085723877,24.92327308654785,38.10636520385742,23.598190307617188,18.0581111907959,14.077627182006836,0.3934081792831421,14.062381744384766,40.49910354614258,4.798480033874512,14.130349159240723,31.458600997924805,40.59474182128906,13.985605239868164
ad13.pdb,12.040151596069336,32.1075325012207,27.143503189086914,12.23189640045166,30.037961959838867,11.810138702392578,24.805795669555664,23.12085723876953,0.0,31.841659545898438,12.2124662399292,12.633686065673828,32.07575988769531,1.8349308967590332,27.393911361694336,12.159104347229004,22.46173095703125,32.49607849121094,23.7719669342041,36.682456970214844,11.704700469970703,31.85505485534668,11.461019515991211,23.38979721069336,30.071407318115234,11.662463188171387,27.469154357910156,32.28786849975586,31.145761489868164,12.164728164672852,25.617088317871094,36.77170944213867,31.878597259521484,30.08243751525879,30.284608840942383,23.543970108032227,12.430327415466309,36.12059020996094,24.9554443359375,1.920853853225708,33.94814682006836,11.777328491210938,23.363327026367188,11.743921279907227,32.04606628417969,23.656702041625977,11.68779468536377,27.00345230102539,32.07297897338867,11.533270835876465
ad20.pdb,35.89202117919922,3.426401376724243,28.917348861694336,34.63675308227539,4.292807579040527,34.41558837890625,11.444332122802734,40.060630798339844,31.841659545898438,0.0,34.711090087890625,35.098453521728516,3.424286365509033,31.66838264465332,12.482434272766113,34.67757034301758,40.1044921875,32.67916488647461,39.99555969238281,41.74169921875,32.79158020019531,3.381843090057373,33.29829788208008,39.95912170410156,6.102285385131836,32.86068344116211,12.419388771057129,2.122706651687622,1.558052659034729,33.84245681762695,31.769559860229492,41.63117980957031,3.6402475833892822,4.515303134918213,4.585243225097656,40.10012435913086,35.57768630981445,29.744056701660156,11.337545394897461,31.892597198486328,45.838741302490234,32.77222442626953,40.12080383300781,32.9121208190918,3.4114744663238525,40.1415901184082,32.830726623535156,28.960735321044922,3.396057605743408,33.180755615234375
