Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
4 2 -6.58217 0.0 -32.463 6.34487 -10.7602 243.255 -1619.2 241.975 -1610.35 0.0 241.975 -1610.35 22.8117 -32.463 -1378.0262 16.8563 16.8563
4 3 -6.581323 0.0 -32.6116 6.35708 -10.7837 243.255 -1619.2 241.942 -1610.06 0.0 241.942 -1610.06 23.0667 -32.6116 -1377.663 16.8364 16.8364
4 4 -6.578865 0.0 -32.729 6.35339 -10.7682 243.255 -1619.2 241.93 -1609.81 0.0 241.93 -1609.81 23.0317 -32.729 -1377.5774 16.8569 16.8569
4 5 -6.3122187 0.0 -31.2035 6.37909 -11.0006 243.255 -1619.2 241.934 -1608.01 0.0 241.934 -1608.01 23.0286 -31.2035 -1374.251 17.1834 17.1834
4 6 -6.1895485 0.0 -29.9027 6.35559 -10.9863 243.255 -1619.2 241.851 -1607.91 0.0 241.851 -1607.91 22.6135 -29.9027 -1373.3483 17.2919 17.2919
4 7 -6.5355244 0.0 -35.7937 6.40682 -11.7939 243.255 -1619.2 242.022 -1605.45 0.0 242.022 -1605.45 25.8902 -35.7937 -1373.3314 19.6757 19.6757
4 8 -6.1755757 0.0 -29.6452 6.35073 -10.9829 243.255 -1619.2 241.842 -1608.07 0.0 241.842 -1608.07 22.5713 -29.6452 -1373.3018 17.3388 17.3388
4 9 -6.514055 0.0 -35.6384 6.41176 -11.7749 243.255 -1619.2 241.988 -1605.26 0.0 241.988 -1605.26 25.8754 -35.6384 -1373.0349 19.6729 19.6729
4 10 -5.7835035 0.0 -27.8676 6.265 -10.6116 243.255 -1619.2 241.504 -1603.65 0.0 241.504 -1603.65 22.2131 -27.8676 -1367.8005 18.2772 18.2772
5 0 -6.7175474 0.0 -37.5963 6.32163 -10.9677 243.255 -1619.2 242.421 -1605.56 0.0 242.421 -1605.56 22.3846 -37.5963 -1378.3507 16.8812 16.8812
5 1 -6.7798376 0.0 -38.104 6.32787 -10.7081 243.255 -1619.2 242.315 -1605.36 0.0 242.315 -1605.36 22.8057 -38.104 -1378.3433 15.3688 15.3688
5 2 -6.636727 0.0 -35.4915 6.31173 -10.687 243.255 -1619.2 242.442 -1607.26 0.0 242.442 -1607.26 22.0896 -35.4915 -1378.2198 17.5452 17.5452
5 3 -6.7715282 0.0 -38.0411 6.33097 -10.7094 243.255 -1619.2 242.284 -1605.27 0.0 242.284 -1605.27 22.846 -38.0411 -1378.1812 15.4053 15.4053
5 4 -6.704079 0.0 -37.3031 6.31945 -10.6661 243.255 -1619.2 242.159 -1605.09 0.0 242.159 -1605.09 22.8891 -37.3031 -1377.345 15.7169 15.7169
5 5 -6.61168 0.0 -37.0675 6.35581 -10.9805 243.255 -1619.2 242.332 -1604.47 0.0 242.332 -1604.47 22.839 -37.0675 -1376.3665 16.9975 16.9975
5 6 -6.4217343 0.0 -32.9695 6.25952 -10.6588 243.255 -1619.2 242.301 -1607.48 0.0 242.301 -1607.48 22.8063 -32.9695 -1375.3422 18.8772 18.8772
5 7 -6.1212993 0.0 -28.1639 6.26767 -10.6578 243.255 -1619.2 242.375 -1610.1 0.0 242.375 -1610.1 22.5449 -28.1639 -1373.344 19.5579 19.5579
6 0 -6.264134 0.0 -25.6538 6.27004 -10.6027 243.255 -1619.2 242.831 -1616.96 0.0 242.831 -1616.96 21.9718 -25.6538 -1377.811 21.3794 21.3794
6 1 -6.261072 0.0 -25.6016 6.26997 -10.5965 243.255 -1619.2 242.841 -1617.0 0.0 242.841 -1617.0 21.9594 -25.6016 -1377.8013 21.4013 21.4013
6 2 -6.292499 0.0 -26.7668 6.35225 -10.7346 243.255 -1619.2 242.593 -1615.34 0.0 242.593 -1615.34 23.0605 -26.7668 -1376.4532 20.7755 20.7755
6 3 -6.0042624 0.0 -20.3422 6.2582 -10.5113 243.255 -1619.2 242.895 -1620.95 0.0 242.895 -1620.95 21.9731 -20.3422 -1376.4241 22.4898 22.4898
6 4 -5.9754863 0.0 -20.4663 6.26504 -10.9084 243.255 -1619.2 242.821 -1620.56 0.0 242.821 -1620.56 22.3637 -20.4663 -1375.8416 22.3282 22.3282
6 5 -5.9739604 0.0 -20.4333 6.26471 -10.9109 243.255 -1619.2 242.828 -1620.6 0.0 242.828 -1620.6 22.3713 -20.4333 -1375.834 22.3354 22.3354
7 0 -6.435137 0.0 -28.213 6.25433 -10.7828 243.255 -1619.2 242.26 -1615.12 0.0 242.26 -1615.12 23.6604 -28.213 -1377.4126 20.4186 20.4186
8 0 -6.201019 0.0 -24.141 6.24964 -10.8751 243.255 -1619.2 242.798 -1618.52 0.0 242.798 -1618.52 22.4695 -24.141 -1377.3936 21.4035 21.4035
8 1 -6.201019 0.0 -24.141 6.24964 -10.8751 243.255 -1619.2 242.798 -1618.52 0.0 242.798 -1618.52 22.4695 -24.141 -1377.3936 21.4035 21.4035
8 2 -6.1933866 0.0 -24.0163 6.2486 -10.8707 243.255 -1619.2 242.814 -1618.61 0.0 242.814 -1618.61 22.4321 -24.0163 -1377.3802 21.4141 21.4141
