TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTAL3,TEMPAVG,PRESSURE,GPRESSURE,VOLUME,PRESSAVG,GPRESSAVG
115000,12443.4175,68338.3614,45289.0248,595.3004,-1195693.2590,68565.5284,0.0000,0.0000,262422.5703,-738039.0563,301.3890,-1000461.6266,-736664.0811,302.6113,68.0128,69.3221,4053671.4808,0.9804,0.9964
120000,12523.1946,68158.7156,45139.5967,598.9761,-1196111.2085,68843.7528,0.0000,0.0000,263866.7161,-736980.2567,303.0476,-1000846.9728,-735611.8402,302.2715,-74.7862,-73.9708,4060489.0909,1.1001,1.0980
125000,12316.1927,68189.2096,45087.0818,570.4939,-1197303.5443,69279.4253,0.0000,0.0000,263326.2107,-738534.9302,302.4268,-1001861.1409,-737159.4282,302.5428,2.3785,-0.8623,4057244.4023,1.3229,1.3317
130000,12415.8569,67881.4425,45232.6811,575.0517,-1197012.1380,68556.1051,0.0000,0.0000,263593.8943,-738757.1064,302.7342,-1002351.0007,-737382.9507,301.8751,-95.0564,-95.6048,4061185.2864,0.9608,0.9537
135000,12502.0136,68023.8175,45290.0417,607.5921,-1196101.4852,69118.2609,0.0000,0.0000,263557.0672,-737002.6923,302.6919,-1000559.7595,-735631.5580,302.2021,-24.3225,-23.5464,4059400.6001,1.3188,1.3106
140000,12533.1443,68165.2237,45269.8025,604.7592,-1196640.6845,68829.4492,0.0000,0.0000,263630.7524,-737607.5532,302.7766,-1001238.3055,-736231.1029,302.3322,-10.4769,-12.1065,4056105.2490,0.8749,0.8707
145000,12442.6343,67939.5540,45215.1414,558.2766,-1195542.5009,68214.0015,0.0000,0.0000,263272.4512,-737900.4419,302.3651,-1001172.8931,-736538.8172,302.3511,-78.3535,-79.0135,4059653.8350,1.1354,1.1341
150000,12574.6433,68143.9635,45264.3964,597.0982,-1195253.6885,67991.2979,0.0000,0.0000,262465.8289,-738216.4603,301.4387,-1000682.2893,-736871.7566,302.1836,-152.2947,-153.1264,4069201.1262,0.3799,0.3608
155000,12564.5532,68362.4340,45335.3015,605.7003,-1196927.2514,69003.9293,0.0000,0.0000,262604.3643,-738450.9689,301.5978,-1001055.3331,-737089.5348,302.1173,-20.4286,-21.3695,4056849.4626,0.8322,0.8360
160000,12605.4772,67889.9909,45098.2371,635.5600,-1196279.7685,68194.0829,0.0000,0.0000,262922.0875,-738934.3329,301.9627,-1001856.4204,-737544.4491,301.8868,-101.1121,-99.0739,4060366.4672,1.2662,1.2670
165000,12384.8152,67906.0238,45218.7926,603.8223,-1195730.8380,68302.6742,0.0000,0.0000,262912.0816,-738402.6283,301.9512,-1001314.7099,-737010.3832,302.2442,-38.2654,-38.6932,4052330.1760,1.0647,1.0567
170000,12465.2877,67960.0365,45173.7448,607.2576,-1196809.0832,68908.9925,0.0000,0.0000,263117.6469,-738576.1173,302.1873,-1001693.7642,-737197.1480,302.0771,2.2950,4.2707,4055713.4943,0.9372,0.9421
175000,12597.6174,67989.7523,45273.8556,617.1295,-1198370.5094,69874.9705,0.0000,0.0000,263197.4381,-738819.7461,302.2789,-1002017.1841,-737428.3667,302.1362,46.1591,45.5320,4055254.2391,0.3887,0.3960
180000,12375.2482,68172.4778,45145.3333,594.3334,-1197699.5823,70166.1155,0.0000,0.0000,263506.6426,-737739.4314,302.6340,-1001246.0740,-736364.6466,302.1125,193.8768,193.6366,4052426.1011,1.3939,1.4095
